2024-02-29 12:00:14.383 | DEBUG    | __main__:post_request:52 - 2024-02-29 12:00:14 发起post请求:模拟xendit dana下单回调成功
2024-02-29 12:25:59.891 | DEBUG    | __main__:post_request:58 - 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '74f8df16d30877b86c7131388b91276b', 'traceId': 'db4e24b4488b47d49c0610ee6c9fd7e0', 'orderNo': 'TestOrderNo_1709180757811', 'tradeNo': '10012024022911255999300004', 'payCode': 'https://checkouttest.lipperpay.com/mock?orderInfo=PkKE5VRzA2NqiSDiRdeoWSGiOdvu5Q6%2FEMR9zSsNeu15VCV0l0YHV96hPMDqEM6w53REbrRfIjPu2FcD7k4PPw%3D%3D', 'payCodeType': '1', 'expireTime': '2024-02-29 12:25:59'}
2024-02-29 12:26:18.612 | DEBUG    | __main__:post_request:52 - 2024-02-29 12:26:18 发起post请求:模拟xendit dana下单成功
2024-02-29 12:26:18.612 | DEBUG    | __main__:post_request:53 - 2024-02-29 12:26:18 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709180778612&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=6aa58818290fb03604d624ca97bfd577
2024-02-29 12:26:20.259 | DEBUG    | __main__:post_request:58 - 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '6f388e5ce4064658aad66d747083cec7', 'traceId': '3345ba32a7da41eaab2d80f3edbe4516', 'orderNo': 'TestOrderNo_1709180778612', 'tradeNo': '10012024022911262058600001', 'payCode': 'https://checkouttest.lipperpay.com/mock?orderInfo=PkKE5VRzA2NqiSDiRdeoWSGiOdvu5Q6%2FEMR9zSsNeu1%2B%2B0p8dScEEHu2o46B8%2B1Z53REbrRfIjPu2FcD7k4PPw%3D%3D', 'payCodeType': '1', 'expireTime': '2024-02-29 12:26:20'}
2024-02-29 14:04:24.538 | DEBUG    | __main__:post_request:52 - 2024-02-29 14:04:24 发起post请求:模拟xendit dana下单成功
2024-02-29 14:04:24.538 | DEBUG    | __main__:post_request:53 - 2024-02-29 14:04:24 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709186664537&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=29001c2cbef951e688f91673d832624f
2024-02-29 14:04:26.515 | DEBUG    | __main__:post_request:58 - 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '4421421bc78b3857b969fcec4c1db0ed', 'traceId': '3db9492f6dde43afae321b4bee6e4705', 'orderNo': 'TestOrderNo_1709186664537', 'tradeNo': '10012024022913042681600000', 'payCode': 'https://checkouttest.lipperpay.com/mock?orderInfo=PkKE5VRzA2NqiSDiRdeoWSGiOdvu5Q6%2FEMR9zSsNeu0jrWZYl4No65eUwG%2FR%2Bmy853REbrRfIjPu2FcD7k4PPw%3D%3D', 'payCodeType': '1', 'expireTime': '2024-02-29 14:04:26'}
2024-02-29 14:23:03.910 | DEBUG    | __main__:post_request:52 - 2024-02-29 14:23:03 发起post请求:模拟xendit dana下单成功
2024-02-29 14:23:03.910 | DEBUG    | __main__:post_request:53 - 2024-02-29 14:23:03 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709187783911&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=4410a8d7f068d0ad76de3e1dc226b912
2024-02-29 14:23:03.920 | ERROR    | __main__:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709187783911&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=4410a8d7f068d0ad76de3e1dc226b912 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 14:49:43.026 | DEBUG    | __main__:post_request:52 - 2024-02-29 14:49:43 发起post请求:模拟xendit dana下单成功
2024-02-29 14:49:43.026 | DEBUG    | __main__:post_request:53 - 2024-02-29 14:49:43 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709189383026&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=1c7f2fe7ef3e8c4770b4a4acd6c6df98
2024-02-29 14:49:43.032 | ERROR    | __main__:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709189383026&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=1c7f2fe7ef3e8c4770b4a4acd6c6df98 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:06:23.933 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:06:23 发起post请求:模拟xendit dana下单成功
2024-02-29 15:06:23.933 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:06:23 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190383934&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=c91479013b4a28a9105a1eebf3923397
2024-02-29 15:06:23.939 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190383934&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=c91479013b4a28a9105a1eebf3923397 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:07:02.560 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:07:02 发起post请求:模拟xendit dana下单成功
2024-02-29 15:07:02.561 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:07:02 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190422560&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=518bab21f12753f54df8de35679a4b93
2024-02-29 15:07:02.566 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190422560&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=518bab21f12753f54df8de35679a4b93 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:07:40.547 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:07:40 发起post请求:模拟xendit dana下单成功
2024-02-29 15:07:40.548 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:07:40 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190460547&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=f4a73366d8adc3bd70232c548c35d768
2024-02-29 15:07:40.553 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190460547&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=f4a73366d8adc3bd70232c548c35d768 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:08:08.359 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:08:08 发起post请求:模拟xendit dana下单成功
2024-02-29 15:08:08.359 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:08:08 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709190488359&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=9f8674575cb76324182ef23d8b51e23b
2024-02-29 15:08:10.346 | DEBUG    | lib.create_order2:post_request:58 - 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '3b89e3944f4d7f56023775f1f62c9656', 'traceId': '8569bc4abd1640bf9dd509acea417d1d', 'orderNo': 'TestOrderNo_1709190488359', 'tradeNo': '10012024022914081065600003', 'payCode': 'https://checkouttest.lipperpay.com/mock?orderInfo=PkKE5VRzA2NqiSDiRdeoWSGiOdvu5Q6%2FEMR9zSsNeu1aL23FsC3sRL1a3BjeNJO153REbrRfIjPu2FcD7k4PPw%3D%3D', 'payCodeType': '1', 'expireTime': '2024-02-29 15:08:10'}
2024-02-29 15:25:04.443 | DEBUG    | __main__:post_request:52 - 2024-02-29 15:25:04 发起post请求:模拟xendit dana下单成功
2024-02-29 15:25:04.443 | DEBUG    | __main__:post_request:53 - 2024-02-29 15:25:04 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709191504443&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=7eb115c889fde98456249f27d670b94c
2024-02-29 15:25:04.449 | ERROR    | __main__:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709191504443&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=7eb115c889fde98456249f27d670b94c (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:35:25.120 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:35:25 发起post请求:模拟xendit dana下单成功
2024-02-29 15:35:25.121 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:35:25 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709192125118&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=da14cadcbaff43745bd24f113b2f25e6
2024-02-29 15:35:25.128 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709192125118&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=da14cadcbaff43745bd24f113b2f25e6 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:56:33.805 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:56:33 发起post请求:模拟xendit dana下单成功
2024-02-29 15:56:33.806 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:56:33 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709193393806&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=3c8e41b660bc65cf33db073acdcf154a
2024-02-29 15:56:33.811 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709193393806&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=3c8e41b660bc65cf33db073acdcf154a (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:56:34.028 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:56:34 发起post请求:模拟xendit dana下单成功
2024-02-29 15:56:34.028 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:56:34 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709193394027&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=4a593bfed0aafacc2fe104c486df6df4
2024-02-29 15:56:34.032 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709193394027&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=4a593bfed0aafacc2fe104c486df6df4 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 15:57:05.032 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 15:57:05 发起post请求:模拟xendit dana下单成功
2024-02-29 15:57:05.032 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 15:57:05 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709193425032&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=ab1a0902a05729c71dec732489339bea
2024-02-29 15:57:05.037 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709193425032&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=ab1a0902a05729c71dec732489339bea (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:57.646 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:57 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:57.647 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:57 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737647&payChannel=1&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=4456e42676422fff0dd59aae693b4c7c
2024-02-29 16:18:57.654 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737647&payChannel=1&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=4456e42676422fff0dd59aae693b4c7c (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:57.807 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:57 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:57.807 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:57 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737808&payChannel=3&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=2cce18f1a54c144245033eed3114c4b7
2024-02-29 16:18:57.810 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737808&payChannel=3&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=2cce18f1a54c144245033eed3114c4b7 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:57.853 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:57 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:57.854 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:57 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737854&payChannel=4&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=641458d166e2015a4f7b64a297f3fcfb
2024-02-29 16:18:57.857 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737854&payChannel=4&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=641458d166e2015a4f7b64a297f3fcfb (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:57.903 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:57 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:57.903 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:57 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737903&payChannel=5&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=cbc989c9cf4af63150521d658e61de0a
2024-02-29 16:18:57.906 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737903&payChannel=5&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=cbc989c9cf4af63150521d658e61de0a (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:57.946 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:57 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:57.947 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:57 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737946&payChannel=6&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=20c121043e64825d10e6e9e8f2722f16
2024-02-29 16:18:57.949 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194737946&payChannel=6&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=20c121043e64825d10e6e9e8f2722f16 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:58.005 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:58 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:58.005 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:58 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194738005&payChannel=8&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=6037821b13adcca10de6a6b865a4f7bf
2024-02-29 16:18:58.008 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194738005&payChannel=8&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=6037821b13adcca10de6a6b865a4f7bf (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:58.050 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:58 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:58.050 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:58 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194738050&payChannel=9&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=df9bbdd758aa1ab37bf6a098dd373aea
2024-02-29 16:18:58.052 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194738050&payChannel=9&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=df9bbdd758aa1ab37bf6a098dd373aea (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:58.099 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:58 发起post请求:模拟xendit dana下单成功
2024-02-29 16:18:58.099 | DEBUG    | lib.create_order2:post_request:53 - 2024-02-29 16:18:58 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194738099&payChannel=12&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=40044267d7c58f1e20963321e25adb42
2024-02-29 16:18:58.102 | ERROR    | lib.create_order2:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709194738099&payChannel=12&payerName=test&payerPhone=0888888881&productId=2023&subject=TestSubject&version=1.0&sign=40044267d7c58f1e20963321e25adb42 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 16:18:58.147 | DEBUG    | lib.create_order2:post_request:52 - 2024-02-29 16:18:58 发起post请求:模拟xendit dana下单成功
